"","ID","Length","Ratio","P_fem"
"1","GAL2023_001",14.6390295812819,0.403373108489129,5.21812859354707e-18
"2","GAL2023_002",16.0862414156813,0.38912291089918,6.17269472491842e-14
"3","GAL2023_004",15.191319014484,0.408882651626902,5.61178550230735e-20
"4","GAL2023_006",12.5968505950197,0.354132267325565,2.08293404690385e-05
"5","GAL2023_007",12.8829278449772,0.380549282040851,3.12460076205134e-11
"6","GAL2023_011",10.7997050208731,0.32455710564179,0.383348049102185
"7","GAL2023_012",11.948530322142,0.307305985877069,0.999937162371051
"8","GAL2023_013",11.3465956803459,0.287225556079814,0.999999792067117
"9","GAL2023_014",10.4227540728918,0.325216247729104,0.216619106099997
"10","GAL2023_015",9.35273985248066,0.328168732387343,0.0466204893464907
"11","GAL2023_017",9.8099095830123,0.292631410106003,0.999045706094056
"12","GAL2023_021",11.3155139730438,0.29820999345066,0.99998154251575
"13","GAL2023_023",10.1056985704992,0.309730465895359,0.949189421616852
"14","GAL2023_024",10.9797509075762,0.303931805189937,0.999404503901176
"15","GAL2023_025",10.8524248303292,0.301044286689188,0.999670176519963
"16","GAL2023_026",10.3714298941545,0.28713278823054,0.999979450131397
"17","GAL2023_030",10.4445866622784,0.295316004019529,0.999787584275971
"18","GAL2023_034",10.8486490122393,0.29232648323072,0.999985106879497
"19","GAL2023_036",10.4984505434151,0.308869175989669,0.985244392274837
"20","GAL2023_041",9.03540628010635,0.313986755449999,0.487137006495414
"21","GAL2023_042",6.68041731795664,0.29694808728972,0.525956438193452
"22","GAL2023_044",8.26995280807204,0.286003421303778,0.9734237291077
"23","GAL2023_049",7.43008978005457,0.296113759372296,0.68049321707285
"24","GAL2023_053",11.0442350291023,0.281276941350154,0.999999897310701
"25","GAL2023_054",4.07513493354486,0.28652860311625,0.5
"26","GAL2023_057",12.120425036905,0.322545131426686,0.967514125639098
"27","GAL2023_059",10.0940364392886,0.298525481539507,0.99802850804606
"28","GAL2023_064",10.8044405785417,0.291055696444132,0.999988498883399
"29","GAL2023_065",8.69804960040594,0.305532072245545,0.76516669792934
"30","GAL2023_066",11.2324584688474,0.318605420525768,0.934099512642728
"31","GAL2023_080",10.6508749861307,0.297257675172277,0.999814194704085
"32","GAL2023_081",15.657802007695,0.384609011747472,1.3746109534221e-12
"33","GAL2023_084",11.1051080623021,0.30227534608234,0.999795787954678
"34","GAL2023_085",10.3473717141961,0.309459114841839,0.973623375372051
"35","GAL2023_086",11.7994416395861,0.290587337413408,0.999999918227434
"36","GAL2023_087",11.6585484061939,0.296413223082067,0.999998045028144
"37","GAL2023_088",10.5062761884598,0.2979565949363,0.999598861806981
"38","GAL2023_089",10.0984181730891,0.335053595545098,0.00978013898599082
"39","GAL2023_090",11.3224335966035,0.312292413249753,0.995382365381407
"40","GAL2023_093",7.08773737644367,0.315692000798998,0.286654068574279
"41","Gal2023_067",12.5154786523476,0.298424110739943,0.999999922238683
"42","Gal2023_069",10.3566819617987,0.297620955364363,0.999386014931319
"43","Gal2023_070",9.97142978362763,0.311174883873634,0.900442075973013
"44","Gal2023_071",4.40696332587494,0.273678301430526,0.5
"45","Gal2023_074",10.7853297087022,0.300787521802436,0.999615998852248
"46","Gal2023_075",8.89924747173103,0.310939172732032,0.602168211438853
"47","Gal2023_076",9.88310147987419,0.310604052694062,0.898051426419581
"48","Gal2023_077",11.2303595511079,0.306641249001187,0.999310645522237
"49","Gal2023_078",5.45206336456209,0.312017618003422,0.5
"50","Gal2023_079",11.0115191612781,0.291943573946256,0.999993677982828
"51","gal2023_073",12.4143439124172,0.30845202442338,0.999984018474388
"52","2024-07-25_P4P_1_Gully_063",14.375,0.386542578477333,3.27311868671216e-13
"53","2024-09-18_INSP2_4_Arctic_005",12.82,0.391189167543115,1.44046697114575e-13
